event_id,timestamp,username,event_type,location,ip_address,failed_attempts,data_transferred_mb,privileged_account,risk_score,risk_level
30,2026-09-07 21:13:06.990451,employee01,Password Reset,Texas,192.168.1.10,0,0,False,20,Low
31,2026-08-25 15:25:06.990451,employee01,File Access,New Jersey,192.168.1.20,0,0,False,5,Low
32,2026-08-22 10:03:06.990451,trader01,Data Transfer,Texas,192.168.1.30,0,3187,False,50,Medium
33,2026-08-28 07:40:06.990451,admin01,Data Transfer,California,192.168.1.20,0,1780,True,60,High
34,2026-08-28 22:12:06.990451,trader01,Password Reset,New Jersey,172.16.0.10,0,0,False,10,Low
35,2026-08-18 21:28:06.990451,admin01,Failed Login,California,10.0.0.15,8,0,True,75,High
36,2026-09-04 23:37:06.990451,employee03,File Access,California,10.0.0.15,0,0,False,15,Low
37,2026-09-07 18:31:06.990451,admin01,Password Reset,London,192.168.1.30,0,0,True,45,Medium
38,2026-09-01 02:33:06.990451,admin01,File Access,Texas,192.168.1.30,0,0,True,40,Medium
39,2026-08-22 19:35:06.990451,finance01,Successful Login,California,10.0.0.25,0,0,False,10,Low
40,2026-09-04 10:16:06.990451,admin01,Password Reset,New Jersey,192.168.1.10,0,0,True,35,Medium
41,2026-09-13 23:34:06.990451,trader01,File Access,New York,192.168.1.20,0,0,False,5,Low
42,2026-08-27 10:59:06.990451,employee02,Successful Login,Chicago,10.0.0.15,0,0,False,0,Low
43,2026-08-24 21:56:06.990451,finance01,Successful Login,Texas,10.0.0.25,0,0,False,10,Low
44,2026-08-20 00:46:06.990451,finance01,Successful Login,Texas,10.0.0.25,0,0,False,10,Low
45,2026-09-03 19:12:06.990451,developer01,Password Reset,Chicago,192.168.1.20,0,0,False,10,Low
46,2026-09-02 10:47:06.990451,employee01,Password Reset,California,10.0.0.15,0,0,False,20,Low
47,2026-09-03 22:26:06.990451,finance01,Password Reset,Connecticut,192.168.1.30,0,0,False,10,Low
48,2026-08-31 19:35:06.990451,employee03,Password Reset,Chicago,192.168.1.30,0,0,False,10,Low
49,2026-09-08 11:28:06.990451,employee03,Password Reset,New York,172.16.0.10,0,0,False,10,Low
50,2026-09-11 19:57:06.990451,developer01,Password Reset,New York,192.168.1.30,0,0,False,10,Low
51,2026-08-25 13:29:06.990451,trader01,Failed Login,New Jersey,10.0.0.15,7,0,False,30,Medium
52,2026-08-31 22:49:06.990451,analyst01,Successful Login,New Jersey,10.0.0.15,0,0,False,0,Low
53,2026-08-19 09:18:06.990451,analyst01,Password Reset,New Jersey,192.168.1.20,0,0,False,10,Low
54,2026-08-24 21:34:06.990451,analyst01,Data Transfer,California,10.0.0.15,0,4735,False,60,High
55,2026-08-28 23:54:06.990451,developer01,Privilege Change,Texas,192.168.1.30,0,0,False,40,Medium
56,2026-08-29 03:30:06.990451,finance01,Failed Login,New Jersey,10.0.0.25,2,0,False,0,Low
57,2026-08-17 13:53:06.990451,analyst01,Successful Login,New York,172.16.0.10,0,0,False,0,Low
58,2026-08-22 13:53:06.990451,analyst01,File Access,California,192.168.1.10,0,0,False,15,Low
59,2026-08-19 14:45:06.990451,employee02,Failed Login,Chicago,192.168.1.30,6,0,False,30,Medium
60,2026-08-31 23:10:06.990451,employee01,Privilege Change,Connecticut,10.0.0.15,0,0,False,30,Medium
61,2026-08-26 23:58:06.990451,trader01,Password Reset,Chicago,10.0.0.15,0,0,False,10,Low
62,2026-08-22 12:37:06.990451,finance01,Failed Login,New York,192.168.1.20,9,0,False,40,Medium
63,2026-08-30 15:11:06.990451,employee01,Password Reset,New Jersey,192.168.1.10,0,0,False,10,Low
64,2026-09-08 02:39:06.990451,trader01,Failed Login,New Jersey,192.168.1.10,1,0,False,0,Low
65,2026-09-08 09:43:06.990451,employee03,Data Transfer,London,172.16.0.10,0,4275,False,60,High
66,2026-09-12 14:54:06.990451,trader01,Failed Login,Texas,192.168.1.20,3,0,False,30,Medium
67,2026-09-13 07:11:06.990451,analyst01,Successful Login,California,192.168.1.20,0,0,False,10,Low
68,2026-09-10 10:28:06.990451,trader01,Successful Login,Chicago,192.168.1.20,0,0,False,0,Low
69,2026-09-09 11:44:06.990451,employee01,Data Transfer,New York,10.0.0.15,0,1595,False,25,Low
70,2026-09-08 12:13:06.990451,trader01,Privilege Change,London,10.0.0.15,0,0,False,40,Medium
71,2026-08-31 11:27:06.990451,employee03,Successful Login,New York,192.168.1.10,0,0,False,0,Low
72,2026-08-26 12:36:06.990451,developer01,Successful Login,Connecticut,192.168.1.10,0,0,False,0,Low
73,2026-09-06 19:16:06.990451,employee02,Data Transfer,New York,10.0.0.25,0,143,False,0,Low
74,2026-09-14 01:03:06.990451,developer01,File Access,California,192.168.1.30,0,0,False,15,Low
75,2026-09-10 02:32:06.990451,employee02,Privilege Change,Connecticut,10.0.0.25,0,0,False,30,Medium
76,2026-09-12 07:58:06.990451,employee03,Failed Login,California,192.168.1.10,2,0,False,10,Low
77,2026-08-18 07:18:06.990451,employee01,Failed Login,California,192.168.1.20,1,0,False,10,Low
78,2026-08-24 12:51:06.990451,employee02,File Access,New Jersey,192.168.1.20,0,0,False,5,Low
79,2026-09-14 09:59:06.990451,employee01,Successful Login,California,192.168.1.10,0,0,False,10,Low
80,2026-08-18 14:29:06.990451,analyst01,Data Transfer,London,192.168.1.30,0,92,False,10,Low
81,2026-08-25 18:50:06.990451,trader01,Password Reset,California,192.168.1.20,0,0,False,20,Low
82,2026-08-17 06:09:06.990451,employee02,Successful Login,Chicago,192.168.1.30,0,0,False,0,Low
83,2026-09-14 11:28:06.990451,developer01,File Access,Connecticut,192.168.1.10,0,0,False,5,Low
84,2026-09-11 19:09:06.990451,finance01,Successful Login,London,192.168.1.20,0,0,False,10,Low
85,2026-09-04 04:50:06.990451,developer01,Privilege Change,New Jersey,172.16.0.10,0,0,False,30,Medium
86,2026-09-01 18:02:06.990451,admin01,Successful Login,New York,10.0.0.15,0,0,True,25,Low
87,2026-09-12 10:14:06.990451,analyst01,Failed Login,Chicago,192.168.1.30,2,0,False,0,Low
88,2026-08-19 12:31:06.990451,employee02,Failed Login,New York,10.0.0.25,9,0,False,40,Medium
89,2026-09-02 13:06:06.990451,employee03,Password Reset,New York,192.168.1.30,0,0,False,10,Low
90,2026-08-29 17:28:06.990451,analyst01,File Access,Chicago,10.0.0.25,0,0,False,5,Low
91,2026-09-12 15:46:06.990451,employee03,Failed Login,Chicago,10.0.0.25,2,0,False,0,Low
92,2026-09-14 09:00:06.990451,employee01,Successful Login,New York,192.168.1.30,0,0,False,0,Low
93,2026-08-19 15:28:06.990451,trader01,Failed Login,New York,192.168.1.10,5,0,False,30,Medium
94,2026-09-05 01:34:06.990451,employee01,File Access,New Jersey,172.16.0.10,0,0,False,5,Low
95,2026-09-08 03:18:06.990451,analyst01,Privilege Change,New York,172.16.0.10,0,0,False,30,Medium
96,2026-09-09 12:49:06.990451,employee01,Password Reset,London,192.168.1.20,0,0,False,20,Low
97,2026-09-07 05:38:06.990451,trader01,File Access,Chicago,192.168.1.20,0,0,False,5,Low
98,2026-08-19 19:01:06.990451,employee03,Failed Login,New York,10.0.0.15,6,0,False,30,Medium
99,2026-08-29 04:36:06.990451,employee01,Failed Login,New Jersey,192.168.1.30,8,0,False,40,Medium
100,2026-08-25 23:05:06.990451,analyst01,Failed Login,New Jersey,10.0.0.15,2,0,False,0,Low
101,2026-08-16 01:20:06.990451,developer01,Failed Login,Texas,10.0.0.25,8,0,False,50,Medium
102,2026-09-06 22:39:06.990451,employee01,Successful Login,Connecticut,172.16.0.10,0,0,False,0,Low
103,2026-08-16 21:20:06.990451,analyst01,Privilege Change,Connecticut,172.16.0.10,0,0,False,30,Medium
104,2026-09-12 09:36:06.990451,employee01,Successful Login,California,192.168.1.20,0,0,False,10,Low
105,2026-08-29 00:22:06.990451,employee01,Data Transfer,Connecticut,192.168.1.30,0,3833,False,40,Medium
106,2026-08-31 18:29:06.990451,employee03,Password Reset,Chicago,192.168.1.20,0,0,False,10,Low
107,2026-08-19 15:29:06.990451,employee02,Successful Login,New Jersey,192.168.1.30,0,0,False,0,Low
108,2026-09-10 03:28:06.990451,employee01,Failed Login,Chicago,192.168.1.30,2,0,False,0,Low
109,2026-09-12 02:42:06.990451,developer01,Password Reset,London,172.16.0.10,0,0,False,20,Low
110,2026-09-08 06:11:06.990451,employee02,File Access,Connecticut,192.168.1.20,0,0,False,5,Low
111,2026-09-06 16:56:06.990451,employee03,Password Reset,Texas,192.168.1.20,0,0,False,20,Low
112,2026-08-31 08:57:06.990451,employee03,Data Transfer,California,172.16.0.10,0,448,False,10,Low
113,2026-08-17 06:24:06.990451,admin01,Data Transfer,London,172.16.0.10,0,637,True,35,Medium
114,2026-08-16 16:44:06.990451,trader01,Failed Login,California,192.168.1.10,6,0,False,40,Medium
115,2026-08-31 18:51:06.990451,finance01,Successful Login,California,192.168.1.10,0,0,False,10,Low
116,2026-08-18 02:07:06.990451,analyst01,Data Transfer,New Jersey,172.16.0.10,0,4764,False,50,Medium
117,2026-09-02 01:15:06.990451,employee03,Successful Login,Texas,192.168.1.30,0,0,False,10,Low
118,2026-08-26 08:41:06.990451,trader01,File Access,Chicago,192.168.1.30,0,0,False,5,Low
119,2026-09-05 07:31:06.990451,employee02,Successful Login,New York,192.168.1.10,0,0,False,0,Low
120,2026-08-27 01:15:06.990451,developer01,Successful Login,California,10.0.0.25,0,0,False,10,Low
121,2026-09-04 05:54:06.990451,admin01,Data Transfer,Connecticut,192.168.1.20,0,4117,True,75,High
122,2026-09-14 11:16:06.990451,analyst01,Failed Login,Chicago,192.168.1.10,9,0,False,40,Medium
123,2026-08-30 02:08:06.990451,trader01,Failed Login,London,10.0.0.25,9,0,False,50,Medium
124,2026-09-01 15:19:06.990451,admin01,Failed Login,California,192.168.1.10,4,0,True,55,Medium
125,2026-09-07 10:30:06.990451,employee02,Successful Login,Texas,10.0.0.15,0,0,False,10,Low
126,2026-09-04 19:23:06.990451,employee01,Data Transfer,Chicago,192.168.1.30,0,4662,False,50,Medium
127,2026-08-17 04:26:06.990451,developer01,File Access,Chicago,192.168.1.20,0,0,False,5,Low
128,2026-08-30 02:17:06.990451,employee01,Data Transfer,California,192.168.1.10,0,3323,False,50,Medium
129,2026-08-30 01:51:06.990451,finance01,File Access,New Jersey,10.0.0.15,0,0,False,5,Low
130,2026-08-24 09:57:06.990451,analyst01,Data Transfer,New Jersey,192.168.1.30,0,3855,False,40,Medium
131,2026-08-15 17:42:06.990451,employee02,Successful Login,London,192.168.1.20,0,0,False,10,Low
132,2026-09-10 06:22:06.990451,trader01,Failed Login,New York,172.16.0.10,5,0,False,30,Medium
133,2026-08-19 19:58:06.990451,developer01,Successful Login,London,10.0.0.25,0,0,False,10,Low
134,2026-08-23 11:26:06.990451,employee01,Privilege Change,New York,10.0.0.15,0,0,False,30,Medium
135,2026-08-29 04:05:06.990451,trader01,Password Reset,Connecticut,10.0.0.25,0,0,False,10,Low
136,2026-08-21 11:11:06.990451,trader01,Failed Login,California,192.168.1.10,3,0,False,30,Medium
137,2026-08-30 03:39:06.990451,employee02,Privilege Change,New York,10.0.0.15,0,0,False,30,Medium
138,2026-09-04 23:23:06.990451,developer01,Password Reset,Chicago,172.16.0.10,0,0,False,10,Low
139,2026-08-25 18:16:06.990451,employee02,Data Transfer,London,10.0.0.25,0,1572,False,35,Medium
140,2026-09-01 18:56:06.990451,developer01,File Access,Texas,10.0.0.25,0,0,False,15,Low
141,2026-09-09 17:15:06.990451,employee03,File Access,New Jersey,10.0.0.15,0,0,False,5,Low
142,2026-08-25 00:11:06.990451,employee03,File Access,Texas,192.168.1.10,0,0,False,15,Low
143,2026-08-17 14:36:06.990451,employee03,Failed Login,California,192.168.1.30,5,0,False,40,Medium
144,2026-09-11 03:53:06.990451,employee02,Data Transfer,New York,192.168.1.30,0,2884,False,25,Low
145,2026-08-23 02:22:06.990451,employee03,File Access,New York,172.16.0.10,0,0,False,5,Low
146,2026-08-16 21:15:06.990451,employee01,Password Reset,New Jersey,10.0.0.15,0,0,False,10,Low
147,2026-08-21 21:25:06.990451,employee01,Data Transfer,Chicago,172.16.0.10,0,2978,False,25,Low
148,2026-08-16 20:44:06.990451,employee03,Data Transfer,Chicago,192.168.1.10,0,1672,False,25,Low
149,2026-08-19 03:50:06.990451,analyst01,Data Transfer,Texas,192.168.1.20,0,3136,False,50,Medium
150,2026-09-06 14:45:06.990451,employee01,Data Transfer,California,192.168.1.20,0,1847,False,35,Medium
151,2026-09-07 02:24:06.990451,analyst01,Failed Login,London,192.168.1.30,8,0,False,50,Medium
152,2026-09-07 10:22:06.990451,admin01,File Access,Chicago,192.168.1.20,0,0,True,30,Medium
153,2026-08-30 07:33:06.990451,admin01,Successful Login,Connecticut,192.168.1.10,0,0,True,25,Low
154,2026-08-23 14:29:06.990451,analyst01,Privilege Change,New Jersey,192.168.1.20,0,0,False,30,Medium
155,2026-08-20 08:07:06.990451,employee03,Password Reset,Connecticut,10.0.0.25,0,0,False,10,Low
156,2026-09-11 17:18:06.990451,developer01,Password Reset,Texas,192.168.1.30,0,0,False,20,Low
157,2026-08-28 01:59:06.990451,employee03,File Access,New York,10.0.0.15,0,0,False,5,Low
158,2026-09-07 21:07:06.990451,employee01,File Access,New York,10.0.0.25,0,0,False,5,Low
159,2026-09-09 08:07:06.990451,employee01,Data Transfer,Texas,10.0.0.25,0,494,False,10,Low
160,2026-09-13 21:07:06.990451,developer01,Password Reset,London,10.0.0.25,0,0,False,20,Low
161,2026-09-12 16:53:06.990451,employee03,Data Transfer,Connecticut,10.0.0.15,0,4667,False,50,Medium
162,2026-09-12 00:09:06.990451,employee03,Privilege Change,New Jersey,192.168.1.10,0,0,False,30,Medium
163,2026-08-22 02:11:06.990451,admin01,Failed Login,Chicago,10.0.0.15,4,0,True,45,Medium
164,2026-08-21 21:18:06.990451,trader01,Password Reset,Connecticut,192.168.1.30,0,0,False,10,Low
165,2026-08-19 06:13:06.990451,finance01,File Access,London,10.0.0.25,0,0,False,15,Low
166,2026-09-02 14:06:06.990451,employee02,Successful Login,London,10.0.0.15,0,0,False,10,Low
167,2026-09-09 22:55:06.990451,employee03,File Access,New Jersey,10.0.0.15,0,0,False,5,Low
168,2026-09-11 17:20:06.990451,analyst01,Password Reset,Texas,10.0.0.15,0,0,False,20,Low
169,2026-08-20 19:27:06.990451,employee02,Successful Login,Chicago,192.168.1.30,0,0,False,0,Low
170,2026-09-03 06:23:06.990451,employee02,Failed Login,Connecticut,192.168.1.20,5,0,False,30,Medium
171,2026-09-07 02:44:06.990451,finance01,Failed Login,Texas,10.0.0.15,2,0,False,10,Low
172,2026-08-31 18:46:06.990451,employee01,Password Reset,California,192.168.1.10,0,0,False,20,Low
173,2026-09-04 20:04:06.990451,employee02,Successful Login,Chicago,192.168.1.20,0,0,False,0,Low
174,2026-08-21 13:46:06.990451,employee01,Failed Login,New Jersey,172.16.0.10,8,0,False,40,Medium
175,2026-08-15 22:02:06.990451,trader01,Data Transfer,Chicago,192.168.1.30,0,763,False,0,Low
176,2026-09-02 03:02:06.990451,developer01,Successful Login,New York,10.0.0.15,0,0,False,0,Low
177,2026-08-25 09:30:06.990451,developer01,Data Transfer,Connecticut,192.168.1.20,0,2519,False,25,Low
178,2026-09-13 20:03:06.990451,analyst01,Privilege Change,New Jersey,172.16.0.10,0,0,False,30,Medium
179,2026-08-16 16:23:06.990451,employee01,Password Reset,Chicago,192.168.1.30,0,0,False,10,Low
180,2026-08-31 00:50:06.990451,employee01,File Access,Connecticut,172.16.0.10,0,0,False,5,Low
181,2026-08-25 01:51:06.990451,finance01,Failed Login,New Jersey,10.0.0.25,8,0,False,40,Medium
182,2026-09-12 14:26:06.990451,analyst01,File Access,New York,192.168.1.10,0,0,False,5,Low
183,2026-08-22 08:24:06.990451,finance01,Password Reset,New Jersey,10.0.0.25,0,0,False,10,Low
184,2026-08-30 11:53:06.990451,employee02,File Access,Connecticut,192.168.1.30,0,0,False,5,Low
185,2026-08-22 03:38:06.990451,developer01,Failed Login,Connecticut,172.16.0.10,3,0,False,20,Low
186,2026-08-31 14:47:06.990451,admin01,Successful Login,New Jersey,192.168.1.10,0,0,True,25,Low
187,2026-08-24 04:05:06.990451,admin01,Successful Login,New York,172.16.0.10,0,0,True,25,Low
188,2026-09-13 11:53:06.990451,developer01,File Access,New Jersey,192.168.1.20,0,0,False,5,Low
189,2026-08-28 18:18:06.990451,employee03,Successful Login,New York,192.168.1.30,0,0,False,0,Low
190,2026-08-22 20:04:06.990451,admin01,Data Transfer,London,192.168.1.10,0,3911,True,75,High
191,2026-08-28 10:56:06.990451,employee02,Successful Login,London,192.168.1.30,0,0,False,10,Low
192,2026-08-17 19:28:06.990451,developer01,Failed Login,London,172.16.0.10,1,0,False,10,Low
193,2026-09-10 07:06:06.990451,employee03,Failed Login,New Jersey,172.16.0.10,10,0,False,40,Medium
194,2026-09-07 09:27:06.990451,finance01,Privilege Change,New York,192.168.1.20,0,0,False,30,Medium
195,2026-09-11 01:09:06.990451,admin01,File Access,London,172.16.0.10,0,0,True,40,Medium
196,2026-09-10 13:32:06.990451,finance01,File Access,Connecticut,192.168.1.20,0,0,False,5,Low
197,2026-08-22 03:09:06.990451,employee02,Privilege Change,Connecticut,172.16.0.10,0,0,False,30,Medium
198,2026-09-03 07:15:06.990451,employee01,Password Reset,London,192.168.1.30,0,0,False,20,Low
199,2026-09-11 03:41:06.990451,trader01,Failed Login,California,192.168.1.20,6,0,False,40,Medium
200,2026-08-17 21:39:06.990451,finance01,Privilege Change,New York,192.168.1.30,0,0,False,30,Medium
201,2026-08-29 18:49:06.990451,trader01,Privilege Change,Connecticut,192.168.1.30,0,0,False,30,Medium
202,2026-09-03 14:42:06.990451,admin01,Privilege Change,New York,192.168.1.20,0,0,True,55,Medium
203,2026-08-16 18:07:06.990451,finance01,Failed Login,London,192.168.1.30,9,0,False,50,Medium
204,2026-09-07 11:30:06.990451,developer01,Failed Login,Connecticut,10.0.0.25,7,0,False,30,Medium
205,2026-09-07 13:25:06.990451,analyst01,Data Transfer,New York,192.168.1.10,0,3584,False,40,Medium
206,2026-08-30 01:09:06.990451,developer01,Successful Login,California,10.0.0.25,0,0,False,10,Low
207,2026-08-22 21:12:06.990451,employee03,Privilege Change,Connecticut,192.168.1.30,0,0,False,30,Medium
208,2026-08-28 23:58:06.990451,developer01,Privilege Change,London,10.0.0.15,0,0,False,40,Medium
209,2026-09-11 00:49:06.990451,finance01,Failed Login,New Jersey,10.0.0.15,10,0,False,40,Medium
210,2026-08-23 04:46:06.990451,employee02,Privilege Change,Connecticut,10.0.0.25,0,0,False,30,Medium
211,2026-08-26 22:48:06.990451,employee02,Password Reset,New Jersey,192.168.1.10,0,0,False,10,Low
212,2026-08-30 16:45:06.990451,employee01,Failed Login,Connecticut,192.168.1.30,2,0,False,0,Low
213,2026-08-21 22:12:06.990451,trader01,Data Transfer,Texas,192.168.1.10,0,1432,False,35,Medium
214,2026-08-26 07:12:06.990451,developer01,Successful Login,New York,192.168.1.10,0,0,False,0,Low
215,2026-09-06 04:43:06.990451,trader01,Data Transfer,London,192.168.1.30,0,2685,False,35,Medium
216,2026-08-24 05:01:06.990451,developer01,Data Transfer,London,192.168.1.20,0,4802,False,60,High
217,2026-08-20 17:42:06.990451,trader01,File Access,New York,172.16.0.10,0,0,False,5,Low
218,2026-08-17 16:08:06.990451,employee01,Failed Login,Connecticut,192.168.1.10,5,0,False,30,Medium
219,2026-08-24 13:54:06.990451,analyst01,Data Transfer,New York,192.168.1.20,0,3758,False,40,Medium
220,2026-09-01 19:56:06.990451,admin01,Failed Login,New Jersey,10.0.0.15,3,0,True,45,Medium
221,2026-09-03 22:30:06.990451,finance01,Data Transfer,New Jersey,192.168.1.10,0,524,False,0,Low
222,2026-08-23 02:32:06.990451,trader01,Data Transfer,New York,10.0.0.15,0,4163,False,50,Medium
223,2026-09-05 13:14:06.990451,trader01,Data Transfer,Chicago,192.168.1.20,0,2331,False,25,Low
224,2026-08-16 18:15:06.990451,employee03,Password Reset,London,10.0.0.25,0,0,False,20,Low
225,2026-09-02 12:10:06.990451,employee02,Privilege Change,New York,192.168.1.10,0,0,False,30,Medium
226,2026-09-05 10:52:06.990451,finance01,Data Transfer,Texas,10.0.0.25,0,2788,False,35,Medium
227,2026-09-09 00:43:06.990451,trader01,Failed Login,California,172.16.0.10,5,0,False,40,Medium
228,2026-08-19 06:59:06.990451,trader01,Failed Login,Texas,10.0.0.15,2,0,False,10,Low
229,2026-09-10 10:11:06.990451,employee02,File Access,New York,192.168.1.10,0,0,False,5,Low
230,2026-08-16 09:49:06.990451,employee01,Data Transfer,New Jersey,192.168.1.30,0,2391,False,25,Low
231,2026-08-19 16:00:06.990451,analyst01,Failed Login,Connecticut,10.0.0.25,9,0,False,40,Medium
232,2026-09-07 19:21:06.990451,finance01,Data Transfer,Chicago,192.168.1.10,0,2059,False,25,Low
233,2026-08-20 00:59:06.990451,employee02,Successful Login,Chicago,192.168.1.30,0,0,False,0,Low
234,2026-08-19 07:04:06.990451,admin01,Failed Login,New Jersey,10.0.0.15,10,0,True,65,High
235,2026-08-31 00:58:06.990451,employee01,Successful Login,New York,192.168.1.20,0,0,False,0,Low
236,2026-08-15 17:12:06.990451,employee01,Data Transfer,Texas,192.168.1.30,0,2471,False,35,Medium
237,2026-08-16 16:53:06.990451,finance01,File Access,Connecticut,172.16.0.10,0,0,False,5,Low
238,2026-09-14 03:26:06.990451,finance01,Data Transfer,Connecticut,10.0.0.25,0,4212,False,50,Medium
239,2026-08-31 07:49:06.990451,employee03,Failed Login,California,192.168.1.30,8,0,False,50,Medium
240,2026-09-07 15:31:06.990451,developer01,Successful Login,Texas,10.0.0.25,0,0,False,10,Low
241,2026-08-30 20:03:06.990451,employee02,Privilege Change,Connecticut,192.168.1.10,0,0,False,30,Medium
242,2026-09-03 23:06:06.990451,admin01,Failed Login,Texas,192.168.1.20,7,0,True,65,High
243,2026-09-07 04:39:06.990451,admin01,Password Reset,New York,10.0.0.15,0,0,True,35,Medium
244,2026-08-17 09:30:06.990451,trader01,File Access,Texas,10.0.0.25,0,0,False,15,Low
245,2026-09-13 01:28:06.990451,employee03,Data Transfer,New York,172.16.0.10,0,3003,False,40,Medium
246,2026-08-16 06:40:06.990451,admin01,Failed Login,Chicago,172.16.0.10,1,0,True,25,Low
247,2026-09-10 21:06:06.990451,finance01,Password Reset,London,192.168.1.10,0,0,False,20,Low
248,2026-09-07 10:58:06.990451,employee01,Data Transfer,Connecticut,172.16.0.10,0,2831,False,25,Low
249,2026-09-11 18:43:06.990451,admin01,File Access,New York,172.16.0.10,0,0,True,30,Medium
250,2026-09-05 21:00:06.990451,admin01,Data Transfer,London,192.168.1.20,0,3714,True,75,High
251,2026-08-29 08:02:06.990451,employee01,Data Transfer,New Jersey,192.168.1.10,0,603,False,0,Low
252,2026-09-10 05:36:06.990451,trader01,Password Reset,New Jersey,10.0.0.25,0,0,False,10,Low
253,2026-09-10 08:05:06.990451,trader01,File Access,Connecticut,10.0.0.25,0,0,False,5,Low
254,2026-09-04 16:57:06.990451,admin01,Failed Login,Connecticut,192.168.1.30,10,0,True,65,High
255,2026-09-07 13:01:06.990451,finance01,Password Reset,New York,172.16.0.10,0,0,False,10,Low
256,2026-08-19 04:10:06.990451,trader01,Privilege Change,New York,172.16.0.10,0,0,False,30,Medium
257,2026-08-21 13:35:06.990451,finance01,Privilege Change,Chicago,172.16.0.10,0,0,False,30,Medium
258,2026-08-31 11:10:06.990451,employee03,Password Reset,New Jersey,10.0.0.25,0,0,False,10,Low
259,2026-09-12 12:33:06.990451,trader01,Data Transfer,New Jersey,10.0.0.15,0,844,False,0,Low
260,2026-08-21 11:49:06.990451,finance01,Privilege Change,Connecticut,172.16.0.10,0,0,False,30,Medium
261,2026-08-23 02:29:06.990451,analyst01,Privilege Change,Texas,192.168.1.20,0,0,False,40,Medium
262,2026-08-21 10:53:06.990451,employee03,Password Reset,Texas,192.168.1.30,0,0,False,20,Low
263,2026-09-14 06:26:06.990451,employee01,File Access,Chicago,192.168.1.20,0,0,False,5,Low
264,2026-09-08 18:32:06.990451,employee02,Privilege Change,California,172.16.0.10,0,0,False,40,Medium
265,2026-08-21 19:14:06.990451,employee01,Data Transfer,Connecticut,192.168.1.20,0,886,False,0,Low
266,2026-08-15 21:59:06.990451,employee03,Successful Login,New Jersey,10.0.0.25,0,0,False,0,Low
267,2026-09-09 16:54:06.990451,employee02,Privilege Change,California,192.168.1.20,0,0,False,40,Medium
268,2026-09-10 06:19:06.990451,employee03,File Access,Chicago,10.0.0.25,0,0,False,5,Low
